"additional_costs";"brand";"brand_logo";"category";"category_path";"condition";"description";"description_short";"color_primary";"sku";"in_stock";"in_stock_amount";"keywords";"link";"price";"price_old";"priority";"terms_conditions";"title";"price_shipping";"delivery_time";"delivery_description";"size";"size_description";"material_description";"model";"gender_target";"ean";"google_category_id";"longitude";"latitude";"currency";"unit_price_measure";"unit_price_measure_unit";"unit_price_base_measure";"google_category_path";"image_small";"image_medium";"image_large";"image_default"
"0";"Schmidt";"";"Legpuzzels";"Speelgoed en spellen|Puzzels|Legpuzzels";"new";"Fijne puzzel met 500 stukjes met een afbeeling van een stukje Amsterdam";"";"";"SCH-58942";"";"202";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=e497f989e17d507aa7f77758e2f7d91a&dl=product%2Famsterdam-500-stukjes%2F4001504589424&ws=";"14.99";"14.99";"0";"";"Amsterdam, 500 stukjes - Puzzel";"4.99";"2";"";"33,7 x 23,2 x 3,8 cm";"";"";"";"";"4001504589424";"2618";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Puzzels > Legpuzzels";"";"https://cdn3.999games.nl/b2c/source_images/58942_Packshot.png";"";"https://cdn3.999games.nl/b2c/source_images/58942_Packshot.png"
"0";"999 Games";"";"Bordspellen";"Speelgoed en spellen|Spellen|Bordspellen";"new";"Grabbel naar voer in een race rond Kakelenburg! Je rijdier heeft de juiste middelen nodig om de andere spelers voor te blijven. Met suikerbieten schiet je vooruit, maar van droomkruiden valt je rijdier juist in slaap. Net als bij het originele Kwakzalvers verzamel je steeds meer fiches om zo een goedgevulde grabbelzak te creëren. Dankzij gestroomlijnde regels ideaal voor jongere spelers!";"";"";"999-KWA05";"";"542";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=21d651017252535aabca1af5a5e825f7&dl=product%2Fde-kwakzalvers-van-kakelenburg-junior%2F8720289474669&ws=";"39.99";"39.99";"0";"";"De Kwakzalvers van Kakelenburg Junior - Bordspel";"0";"2";"";"29,7 x 29,7 x 7,2 cm";"";"";"";"";"8720289474669";"1246";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen > Bordspellen";"";"https://cdn3.999games.nl/b2c/source_images/De-Kwakzalvers-van-Kakelenburg_Junior_L.png";"";"https://cdn3.999games.nl/b2c/source_images/De-Kwakzalvers-van-Kakelenburg_Junior_L.png"
"0";"Schmidt";"";"Legpuzzels";"Speelgoed en spellen|Puzzels|Legpuzzels";"new";"Een puzzel uit de prachtige lijn van Premium Quality-puzzels van Schmidt. Door de zeer nauwkeurig gesneden stukjes zijn de puzzels na gebruik met 2 vingers op te tillen en ingelijst aan de muur te hangen. De puzzel bestaat uit 1000 stukjes en garandeert vele uren puzzelplezier!";"";"";"SCH-58781";"";"91";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=ddd2c11d8aee268d7928aa690320ae45&dl=product%2Fkinkade-graceland-kerst-1000-stukjes%2F4001504587819&ws=";"19.99";"19.99";"0";"";"Kinkade Graceland Kerst - 1000 stukjes - Puzzel";"4.99";"2";"";"37,3 x 27,2 x 5,7 cm";"";"";"";"";"4001504587819";"2618";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Puzzels > Legpuzzels";"";"https://cdn3.999games.nl/b2c/source_images/58781_Thomas_Kinkade_Packshot-21273950.png";"";"https://cdn3.999games.nl/b2c/source_images/58781_Thomas_Kinkade_Packshot-21273950.png"
"0";"Schmidt";"";"Legpuzzels";"Speelgoed en spellen|Puzzels|Legpuzzels";"new";"Een puzzel uit de prachtige lijn van Premium Quality-puzzels van Schmidt. Door de zeer nauwkeurig gesneden stukjes zijn de puzzels na gebruik met 2 vingers op te tillen en ingelijst aan de muur te hangen. De  puzzel bestaat uit 1000 stukjes en garandeert vele uren puzzelplezier!";"";"";"SCH-59688";"";"195";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=e53f29e66b29dc575764a37d69a13ba3&dl=product%2Fdisney-pocahontas1000-stukjes%2F4001504596880&ws=";"19.99";"19.99";"0";"";"Disney Pocahontas,1000 stukjes - Puzzel";"4.99";"2";"";"37,3 x 27,2 x 5,7 cm";"";"";"";"";"4001504596880";"2618";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Puzzels > Legpuzzels";"";"https://cdn3.999games.nl/b2c/source_images/59688_Packshot.png";"";"https://cdn3.999games.nl/b2c/source_images/59688_Packshot.png"
"0";"999 Games";"";"Spellen";"Speelgoed en spellen|Spellen";"new";"In dit deel van de Exit-serie krijg je de opdracht om de ontvoerder van een sheriff uit het Wilde Westen te ontmaskeren. Wie van de verdachten is de dader en waar woont hij? Beleef nieuwe avonturen en bevrijd de sheriff!";"";"";"999-EXI25";"";"3084";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=a912f9b581a115eb3cb385b62669c6e5&dl=product%2Fexit-de-ontvoering-in-fortune-city%2F8720289475765&ws=";"16.99";"16.99";"0";"";"EXIT - De Ontvoering in Fortune City - Breinbreker";"4.99";"2";"";"18 x 13 x 4 cm";"";"";"";"";"8720289475765";"3793";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen";"";"https://cdn3.999games.nl/b2c/source_images/EXIT-De-Ontvoering-in-Fortune-City_L.png";"";"https://cdn3.999games.nl/b2c/source_images/EXIT-De-Ontvoering-in-Fortune-City_L.png"
"0";"Accessoires";"";"Spellen";"Speelgoed en spellen|Spellen";"new";"Altijd al op een originele manier je zwangerschap willen aankondigen? En speel je graag 30 Seconds? Zoek niet verder, want met dit speciale kaartje wordt jouw aanzoek eréén om nooit te vergeten. Dit speciale kaartje is 1,5 mm breder dan de normale kaartjes, zodat je precies kunt zien waar het kaartje zit.";"";"";"MER-30SECONDZWANGER001";"";"237";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=78597f1b1305c8708b65f6986e61d793&dl=product%2F30-seconds-onthulling-zwangerschap%2F8720289477318&ws=";"2.5";"2.5";"0";"";"30 Seconds Onthulling zwangerschap";"4.99";"2";"";"55 x 85 x 0,01 cm";"";"";"";"";"8720289477318";"3793";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen";"";"https://cdn3.999games.nl/b2c/source_images/merchandise-30-seconds-zwanger.png";"";"https://cdn3.999games.nl/b2c/source_images/merchandise-30-seconds-zwanger.png"
"0";"Schmidt";"";"Legpuzzels";"Speelgoed en spellen|Puzzels|Legpuzzels";"new";"Sfeervolle puzzel van een 17e eeuw zeilschip voor anker.Puzzel bevat 1000 stukjes, leeftijd vanaf 12 jaar.";"";"";"SCH-58183";"";"148";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=7ad53c7b0c60170ae5b505072ab7efdc&dl=product%2Fship-at-anchor-1000-stukjes%2F4001504581831&ws=";"19.99";"19.99";"0";"";"Ship at Anchor, 1000 stukjes - Puzzel";"4.99";"2";"";"37,30 x 27,20 x 5,70 cm";"";"";"";"";"4001504581831";"2618";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Puzzels > Legpuzzels";"";"https://cdn3.999games.nl/b2c/source_images/58183_Packshot.png";"";"https://cdn3.999games.nl/b2c/source_images/58183_Packshot.png"
"0";"Schmidt";"";"Legpuzzels";"Speelgoed en spellen|Puzzels|Legpuzzels";"new";"In deze prachtige lijn van Premium Quality-puzzels van Schmidt brengt Thomas Kinkade, de“painter of light”, de sfeer van verschillende Marvel-verhalen perfect over. Door de zeer nauwkeurig gesneden stukjes zijn de puzzels na gebruik met 2 vingers op te tillen en ingelijst aan de muur te hangen. De  puzzel bestaat uit 1000 stukjes en garandeert vele uren puzzelplezier!";"";"";"SCH-59959";"";"62";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=21891147ff032887254ae2c38e364720&dl=product%2Fdeadpoolbr-1000-stukjes%2F4001504599591&ws=";"18.99";"18.99";"0";"";"Deadpool<br/>, 1000 stukjes - Puzzel";"4.99";"2";"";"37,3 x 27,2 x 5,7 cm";"";"";"";"";"4001504599591";"2618";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Puzzels > Legpuzzels";"";"https://cdn3.999games.nl/b2c/source_images/59959_Thomas_Kinkade_Studios_MARVEL_Deadpool_Packshot-3b8bb2e4.png";"";"https://cdn3.999games.nl/b2c/source_images/59959_Thomas_Kinkade_Studios_MARVEL_Deadpool_Packshot-3b8bb2e4.png"
"0";"999 Games";"";"Bordspellen";"Speelgoed en spellen|Spellen|Bordspellen";"new";"Verover met jouw stam de grote vlaktes van de oertijd! In dit spel moet je in elke vlakte van het speelbord met jouw stamleden de meerderheid krijgen. Je begint met voorzichtige stappen vanuit je persoonlijke grot, maar legt al gauw met getemde dieren grote afstanden af op zoek naar vruchtbare grond en bronwater. Wie het slimst meerderheden per vlakte vormt, wint!";"";"";"999-GRP01";"";"2383";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=80106b8b3bfa1799fbcdb0bb4ad8414d&dl=product%2Fgreat-plains%2F8720289471996&ws=";"19.99";"19.99";"0";"";"Great Plains - Bordspel";"4.99";"2";"";"20 x 20 x 4,5 cm";"";"";"";"";"8720289471996";"1246";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen > Bordspellen";"";"https://cdn3.999games.nl/b2c/source_images/Great-Plains_L.png";"";"https://cdn3.999games.nl/b2c/source_images/Great-Plains_L.png"
"0";"Drie Magiers Spellen";"";"Kaartspellen";"Speelgoed en spellen|Spellen|Kaartspellen";"new";"Vlot kaartspel voor het hele gezin. Roep na het spelen van een kaart steeds bliksemsnel van welke diersoort of kleur er de meeste op tafel liggen. Maar soms moet je“niets” of “dodelido” roepen. En de schildpad en de krokodil maken het nog ingewikkelder. Concentratie vereist!";"";"";"999-DOD01";"";"3471";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=9690e564c6efa4082467843da064325b&dl=product%2Fdodelido%2F8719214426439&ws=";"14.99";"14.99";"0";"";"Dodelido - Kaartspel";"4.99";"2";"";"11 x 11 x 3,4 cm";"";"";"";"";"8719214426439";"1247";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen > Kaartspellen";"";"https://cdn3.999games.nl/b2c/source_images/Dodelido_L.png";"";"https://cdn3.999games.nl/b2c/source_images/Dodelido_L.png"
"0";"999 Games";"";"Legpuzzels";"Speelgoed en spellen|Puzzels|Legpuzzels";"new";"Uitdagende puzzel! Zet de zeedieren zo op het raster dat ze perfect passen. Soms moet je de zeedieren zelfs in 2 of 3 lagen verdelen. Het spel bevat 48 uitdagingen in verschillende moeilijkheidsgradaties!";"";"";"999-SLL09";"";"2442";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=0617699fa31fbd4f1e6ee26a9bfbf127&dl=product%2Fsea-stax%2F8720289478223&ws=";"12.99";"12.99";"0";"";"Sea Stax - Breinbreker";"4.99";"2";"";"13,5 x 8,8 x 3,8cm";"";"";"";"";"8720289478223";"2618";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Puzzels > Legpuzzels";"";"https://cdn3.999games.nl/b2c/source_images/999Solo_SeaStax_L.png";"";"https://cdn3.999games.nl/b2c/source_images/999Solo_SeaStax_L.png"
"0";"999 Games";"";"Kaartspellen";"Speelgoed en spellen|Spellen|Kaartspellen";"new";"Hoe handig zou het zijn als je je favoriete spelletje in je broek- of jaszak zou kunnen meenemen? Daarom brengen we Vlotte Geesten nu ook in miniformaat uit. De tin is zo groot als een pepermuntdoosje, waardoor je het spel overal kunt spelen. En natuurlijk ook heel leuk om ze te verzamelen!";"";"";"999-VLO06";"";"6401";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=25ac56052be91f81c63b8a368f82a421&dl=product%2Ftiny-tins-vlotte-geesten%2F8719214427771&ws=";"5.99";"5.99";"0";"";"Tiny Tins: Vlotte Geesten - Kaartspel";"4.99";"2";"";"6 x 5 x 4 cm";"";"";"";"";"8719214427771";"1247";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen > Kaartspellen";"";"https://cdn3.999games.nl/b2c/source_images/Tiny-Tins---VlotteGeesten-F-new.png";"";"https://cdn3.999games.nl/b2c/source_images/Tiny-Tins---VlotteGeesten-F-new.png"
"0";"999 Games";"";"Bordspellen";"Speelgoed en spellen|Spellen|Bordspellen";"new";"Ga de strijd met de barbaren nu ook met 5 of 6 spelers aan.";"";"";"999-KOL06E";"";"4292";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=3684e7d9eb932839f741bca5cf330a7c&dl=product%2Fcatan-uitbreiding-steden-ridders-56-spelers%2F8720289472696&ws=";"27.99";"27.99";"0";"";"Catan: Uitbreiding Steden&Ridders 5/6 spelers - Bordspel";"4.99";"2";"";"29,7 x 14,8 x 4,4 cm";"";"";"";"";"8720289472696";"1246";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen > Bordspellen";"";"https://cdn3.999games.nl/b2c/source_images/ECOCatan---Steden---Ridders-5-6.png";"";"https://cdn3.999games.nl/b2c/source_images/ECOCatan---Steden---Ridders-5-6.png"
"0";"999 Games";"";"Kaartspellen";"Speelgoed en spellen|Spellen|Kaartspellen";"new";"Breid de populaire deckbuilder Dominion uit met Plunderen! Plunderen bevat 400 kaarten met 40 nieuwe stapels koninkrijkkaarten. Daaronder bevinden zich veel geld- en duurzame kaarten die je verschillende soorten buit geven. Gebeurtenissen geven je extra keuze bij het aanschaffen van kaarten en eigenschappen beïnvloeden hele stapels koninkrijkaarten. Met Plunderen wordt Dominion nog afwisselender en spannender!";"";"";"999-DOM30";"";"1204";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=ba7f605033fa1880637ad3697317ae55&dl=product%2Fdominion-plunderen-uitbreiding%2F8720289475840&ws=";"54.99";"54.99";"0";"";"Dominion: Plunderen Uitbreiding - Kaartspel";"0";"2";"";"29,7 x 29,7 x 7,2 cm";"";"";"";"";"8720289475840";"1247";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen > Kaartspellen";"";"https://cdn3.999games.nl/b2c/source_images/Dominion-Uitbreiding-Plunderen_L.png";"";"https://cdn3.999games.nl/b2c/source_images/Dominion-Uitbreiding-Plunderen_L.png"
"0";"Schmidt";"";"Legpuzzels";"Speelgoed en spellen|Puzzels|Legpuzzels";"new";"Leuke puzzel van een verzameling kruiden, specerijen en pasta's op een bijzondere manier afgebeeld. Puzzel bevat 1000 stukjes, leeftijd vanaf 12 jaar.";"";"";"SCH-58141";"";"168";"";"https://lt45.net/c/?si=13450&li=1594951&wi=362182&pid=f765f080b69430a204d7e5d4d67aa8c1&dl=product%2Fkeuken-potpourri-1000-stukjes%2F4001504581411&ws=";"19.99";"19.99";"0";"";"Keuken Potpourri, 1000 stukjes - Puzzel";"4.99";"2";"";"37,3 x 27,2 x 5,7 cm";"";"";"";"";"4001504581411";"2618";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Puzzels > Legpuzzels";"";"https://cdn3.999games.nl/b2c/source_images/58141_Packshot.png";"";"https://cdn3.999games.nl/b2c/source_images/58141_Packshot.png"
