"SKU","Name","Description","Category","Price","Shipping","Currency","Instock","ProductUrl","ImageUrl","TrackingUrl","Brand","OriginalPrice","Ean","ManufacturerArticleNumber","Extras"
"9789492938039","Bordspel - Ik Zie Je Wel! Jungle","Op het speelbord staan maar liefst 300 wilde dieren afgebeeld. Sommige ken je misschien al, zoals de luipaard en de neushoorn, en sommige nog niet. Heb je ooit gehoord van de Kaaimanteju of de Roodkeelhoningzuiger, en hoe zien die er dan uit? Trek een fiche van een dier uit de doos en ontdek als eerste het dier op het bord. Het speelbord bestaat uit zes aansluitende driehoeken die je telkens in een andere volgorde kan leggen zodat het zoeken naar dieren je nooit verveelt. 
 
 Caroline Selmes is een illustrator en voormalig art director in de reclameindustrie. Ze heeft gewerkt in Parijs, Barcelona, Madrid en Londen, en voor klanten zoals Vodafone, Reebok, London Zoo en Gestalten.","Spel & Speelgoed","23.99","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/bordspel-ik-zie-je-wel-jungle-9789492938039","https://www.bruna.nl/images/active/carrousel/fullsize/9789492938039_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/bordspel-ik-zie-je-wel-jungle-9789492938039",,"23.99","9789492938039","9789492938039","{delivery_time#2 - 3 Werkdagen}{pricing_measure_unit#EUR}"
"9789464530261","Dog Man - Knuffel Dog Man 24 cm","Dit is Dog Man: half hond, half man, helemaal politieheld! Hij houdt van botten, boeven vangen en de baas likjes geven. Woef! 
 
 Bekend van de superpopulaire serie van Dav Pilkey.","Spel & Speelgoed","18.99","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/dog-man-knuffel-dog-man-24-cm-9789464530261","https://www.bruna.nl/images/active/carrousel/fullsize/9789464530261_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/dog-man-knuffel-dog-man-24-cm-9789464530261",,"18.99","9789464530261","9789464530261","{delivery_time#Op werkdagen voor 23.00 uur besteld, volgende dag in huis}{pricing_measure_unit#EUR}"
"9789493361218","Top2000 Legpuzzel","De NPO Radio 2 Top 2000 legpuzzel van 1.000 stukjes in alweer een derde editie. Ontdek tijdens het puzzelen de geheimen van het NPO Radio 2 Top 2000 café. In de tekening zitten verborgen hits, diverse lijstduwers en originele platenhoezen. Als jouw hoofd vol zit met muziek en je het leuk vindt om te puzzelen, dan is dit dé legpuzzel voor jou. Uren puzzelplezier over de populairste muzieklijst van het jaar. Klaar met de legpuzzel? Nou niet helemaal, want we hebben nog een aantal extra puzzelopdrachten voor je in petto. Veel puzzelplezier! Nog meer Top 2000 puzzels? Ontdek de Top 2000 puzzelboeken.","Spel & Speelgoed","18.75","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/top2000-legpuzzel-9789493361218","https://www.bruna.nl/images/active/carrousel/fullsize/9789493361218_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/top2000-legpuzzel-9789493361218",,"18.75","9789493361218","9789493361218","{delivery_time#Op werkdagen voor 23.00 uur besteld, volgende dag in huis}{pricing_measure_unit#EUR}"
"9789403222295","Kleurblok uil","In dit kleurblok kan je kleine uk van drie jaar naar hartenlust kleuren. De tekeningen, die speciaal gemaakt zijn voor de allerkleinsten, hebben dikke, gekleurde lijnen. Om je kind te helpen staat er op elke pagina ook een kleurvoorbeeld. De pagina's zijn bovendien uitscheurbaar zodat je de kunstwerkjes een mooi plekje kan geven.","Spel & Speelgoed","7.99","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/kleurblok-uil-9789403222295","https://www.bruna.nl/images/active/carrousel/fullsize/9789403222295_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/kleurblok-uil-9789403222295",,"7.99","9789403222295","9789403222295","{delivery_time#2 - 3 Werkdagen}{pricing_measure_unit#EUR}"
"9789043928359","De Zoete Zusjes letterkwartet","Een spelletje kwartet verveelt nooit! Vooral niet als je het vrolijke 'Zoete Zusjes letterkwartet' mag spelen met de bekende illustraties van Iris Boter. Zoek de kwartetten bij elkaar, en winnen maar! Dit gezellige kwartet van Zoete Zusjes Saar en Janna is voor kleuters die het leuk vinden om met letters bezig te zijn. Zo kunnen ze thuis spelenderwijs oefenen met letters en woordjes.

 Dit kwartetspel kan met letters en woorden gespeeld worden, maar ook met de plaatjes en op kleur en is dus geschikt voor kinderen vanaf 4 jaar. De 32 stevige kaartjes (8 kwartetten) met afbeeldingen van de Zoete Zusjes zitten in een mooie bewaardoos en zijn bedacht door Hanneke de Zoete.

 Leerdoelen:
  Herkennen en oefenen met letters
  Koppelen van klanken aan letters
  Onderscheiden van klanken in woorden","Spel & Speelgoed","15","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/de-zoete-zusjes-letterkwartet-9789043928359","https://www.bruna.nl/images/active/carrousel/fullsize/9789043928359_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/de-zoete-zusjes-letterkwartet-9789043928359",,"15","9789043928359","9789043928359","{delivery_time#Op werkdagen voor 23.00 uur besteld, volgende dag in huis}{pricing_measure_unit#EUR}"
"1420124","Exploding Kittens","Geheel Nederlandstalige uitgave van het te gekke kaartspel Exploding Kittens, dat een combinatie is van Russisch Roulette en schaken. Doel van het spel is net zo lang te overleven totdat je de laatste speler bent. Eigenlijk is het spel heel simpel: wanneer je aan de beurt bent, speel je je âactiekaartenâ zoals Ontmantel en Voorspel de Toekomst om de Exploding Kittens te ontlopen. De ene kaart gebruik je om een tegenstander te vloeren, een andere gebruik je om een aanval af te weren. En als je de juiste combo speelt, kun je een aanval uitvoeren die het aantal spelers met één doet afnemen: KABOEM! Exploding Kittens is bekend van de meest succesvolle Kickstarter campagne en zorgt gegarandeerd voor veel hilariteit!","Spel & Speelgoed","23.99","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/exploding-kittens-1420124","https://www.bruna.nl/images/active/carrousel/fullsize/1420124_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/exploding-kittens-1420124",,"23.99","","1420124","{delivery_time#Op werkdagen voor 15:00 uur besteld, volgende dag in huis}{pricing_measure_unit#EUR}"
"9789043929837","Vogels rond het huis - memospel","Zoek een vogelpaar bij elkaar! Het memospel âVogels rond het huis' van Elwin van der Kolk is een prachtig memory met vogels. Een geheugenspel voor jong en oud met een leuke twist: leer van 25 tuinvogels het mannetje en het vrouwtje herkennen. Een begeleidend boekje bevat veel interessante informatie over hun uiterlijk, gedrag en leefgebied. Handig voor als je vogels gaat kijken in de natuur. Een leuk en leerzaam bordspel dus, voor de hele familie!

 Met 50 prachtige illustraties van bioloog en natuurschilder Elwin van der Kolk en in samenwerking met Vogelbescherming Nederland.","Spel & Speelgoed","17.5","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/vogels-rond-het-huis-memospel-9789043929837","https://www.bruna.nl/images/active/carrousel/fullsize/9789043929837_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/vogels-rond-het-huis-memospel-9789043929837",,"17.5","9789043929837","9789043929837","{delivery_time#Op werkdagen voor 23.00 uur besteld, volgende dag in huis}{pricing_measure_unit#EUR}"
"9789020696493","Bobbi Knuffel (Los Verpakt)","Het vrolijke beertje Bobbi beleeft de leukste avonturen in de boekjes van schrijfster en illustratrice Monica Maas. Met zijn knuffelvriendjes gaat hij naar de kinderboerderij, op vakantie, logeert bij opa en oma of bakt pannenkoeken. Nu kan je ook spelen met je favoriete beertje, want Bobbi is te verkrijgen als knuffel! Zo kan hij ook samen met jou allemaal avonturen beleven. 25 x 15 cm Met rood wit gestreept truitje en wit broekje Materiaal: pluche","Spel & Speelgoed","14.95","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/bobbi-knuffel-los-verpakt-9789020696493","https://www.bruna.nl/images/active/carrousel/fullsize/9789020696493_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/bobbi-knuffel-los-verpakt-9789020696493",,"14.95","9789020696493","9789020696493","{delivery_time#Op werkdagen voor 23.00 uur besteld, volgende dag in huis}{pricing_measure_unit#EUR}"
"9789403222301","Kleurblok raket","In dit kleurblok kunnen kleurders vanaf 3 jaar naar hartenlust kleuren. De tekeningen, die speciaal gemaakt zijn voor de allerkleinsten, hebben dikke, gekleurde lijnen. Om je kind te helpen staat er op elke pagina ook een kleurvoorbeeld. Bovendien zijn de pagina's uitscheurbaar zodat je de kunstwerkjes een mooi plekje kan geven.","Spel & Speelgoed","7.99","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/kleurblok-raket-9789403222301","https://www.bruna.nl/images/active/carrousel/fullsize/9789403222301_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/kleurblok-raket-9789403222301",,"7.99","9789403222301","9789403222301","{delivery_time#2 - 3 Werkdagen}{pricing_measure_unit#EUR}"
"9789077990285","Malle Getallen - Vermenigvuldigen","Slim rekenspel met superhandig controlesysteem in luxe doos. 
 
Oefen spelenderwijs de tafels van 1 tot en met 10 met deze leuke kwartetten. Zoek de tegenstander die jouw ontbrekende kwartetkaarten heeft. Los je de rekensom goed op, dan krijg jij de kaart. De oplossing controleer je met de magische envelop. 
 
Inhoud 
76 vragenkaarten, magische envelop, spelregels 
7-9 jaar, 1-4 spelers","Spel & Speelgoed","14.95","4.95","EUR","yes","https://www.bruna.nl/spel-speelgoed/malle-getallen-vermenigvuldigen-9789077990285","https://www.bruna.nl/images/active/carrousel/fullsize/9789077990285_front.jpg","https://track.adtraction.com/t/t?a=1741618761&as=1593318128&t=2&tk=1&gt=1&url=https://www.bruna.nl/spel-speelgoed/malle-getallen-vermenigvuldigen-9789077990285",,"14.95","9789077990285","9789077990285","{delivery_time#2 - 3 Werkdagen}{pricing_measure_unit#EUR}"
