"additional_costs";"brand";"brand_logo";"category";"category_path";"condition";"description";"description_short";"color_primary";"sku";"in_stock";"in_stock_amount";"keywords";"link";"price";"price_old";"priority";"terms_conditions";"title";"price_shipping";"delivery_time";"delivery_description";"size";"size_description";"material_description";"model";"gender_target";"ean";"google_category_id";"longitude";"latitude";"currency";"unit_price_measure";"unit_price_measure_unit";"unit_price_base_measure";"google_category_path";"image_small";"image_medium";"image_large";"image_default"
"0";"Citadel Miniatures";"https://cdn.webshopapp.com/shops/352022/files/450495418/image.jpg";"Warhammer";"";"";"Revolutioneer je schilderwerk met 'Citadel Colour Contrast: Darkoath Flesh'. Bereik diepe tinten met één laag voor snelle en indrukwekkende resultaten.";"";"";"148666368";"1";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=0f953352626673f0b0978133859a4885&dl=nl%2Fcitadel-colour-contrast-darkoath-flesh.html%3Fsource%3Ddaisycon&ws=";"6.3";"6.3";"1";"";"Citadel Colour Contrast: Darkoath Flesh (18ml)";"6.45";"0";"";"";"";"";"";"";"0";"";"";"";"EUR";"0";"";"0";"";"https://cdn.webshopapp.com/shops/352022/files/452754738/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/452754738/image.jpg"
"0";"The Pokémon Company";"https://cdn.webshopapp.com/shops/352022/files/437806301/image.jpg";"Collectible Card Games";"";"";"Paldea Legends Tin is een Pokémon-verzamelblik gevuld met unieke kaarten en exclusieve items uit de Paldea-regio.";"";"";"145461143";"0";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=af54e837f79259a85163094a4b344d2a&dl=nl%2Fpaldea-legends-tin.html%3Fsource%3Ddaisycon&ws=";"24.99";"24.99";"1";"";"Paldea Legends Tin (Miraidon)";"6.45";"0";"";"";"";"";"";"";"0";"";"";"";"EUR";"0";"";"0";"";"https://cdn.webshopapp.com/shops/352022/files/461013228/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/461013228/image.jpg"
"0";"White Goblin Games";"https://cdn.webshopapp.com/shops/352022/files/437806614/image.jpg";"Spellen";"Speelgoed en spellen|Spellen";"";"1 tot 4 spelersVanaf 10 jaarSpeelduur: 60 minTaal: Nederlands";"";"";"145416872";"1";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=397c6745e5bc03c38f2a6387e84d465e&dl=nl%2Feverdell.html%3Fsource%3Ddaisycon&ws=";"69.99";"69.99";"1";"";"Everdell (NL)";"6.45";"0";"";"";"";"";"";"";"0";"3793";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen";"https://cdn.webshopapp.com/shops/352022/files/437534055/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/437534055/image.jpg"
"0";"Left Justified Studio";"https://cdn.webshopapp.com/assets/blank.gif?2023-05-22";"Spellen";"Speelgoed en spellen|Spellen";"";"2 tot 5 spelersVanaf 9 jaarSpeeltijd: 30 minTaal: Engels";"";"";"153422951";"1";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=b67cf8af5068e16bb41c4507b5556411&dl=nl%2Fjewels-for-the-emperor-penguin.html%3Fsource%3Ddaisycon&ws=";"44.99";"44.99";"1";"";"Jewels for the Emperor Penguin (ENG)";"6.45";"0";"";"";"";"";"";"";"0";"3793";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen";"https://cdn.webshopapp.com/shops/352022/files/464465464/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/464465464/image.jpg"
"0";"USAopoly";"https://cdn.webshopapp.com/shops/352022/files/437806208/image.jpg";"Spellen";"Speelgoed en spellen|Spellen";"";"2 tot 5 spelersVanaf 11 jaarSpeeltijd: 60 minTaal: Engels";"";"";"151883990";"1";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=48d46e5a1ea78adbc42d918a3b183d65&dl=nl%2Fhogwarts-battle-the-charms-and-potions-expansion.html%3Fsource%3Ddaisycon&ws=";"39.99";"39.99";"1";"";"Harry Potter: Hogwarts Battle - The Charms and Potions Expansion (ENG)";"6.45";"0";"";"";"";"";"";"";"0";"3793";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen";"https://cdn.webshopapp.com/shops/352022/files/466820308/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/466820308/image.jpg"
"0";"Smart Games";"https://cdn.webshopapp.com/shops/352022/files/444043493/image.jpg";"Spellen";"Speelgoed en spellen|Spellen";"";"1 spelerVanaf 6 jaarSpeeltijd: 20 minTaal: Nederlands";"";"";"147012954";"1";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=686c7e0a574f999e7c09f45b9275b457&dl=nl%2Fiq-xoxo.html%3Fsource%3Ddaisycon&ws=";"12.99";"12.99";"1";"";"IQ Xoxo (NL)";"6.45";"0";"";"";"";"";"";"";"0";"3793";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen";"https://cdn.webshopapp.com/shops/352022/files/459722164/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/459722164/image.jpg"
"0";"Citadel Miniatures";"https://cdn.webshopapp.com/shops/352022/files/450495418/image.jpg";"Warhammer";"";"";"Revolutioneer je schilderwerk met 'Citadel Colour Contrast:  Gryph-Hound Orange'. Bereik diepe tinten met één laag voor snelle en indrukwekkende resultaten.";"";"";"148229267";"1";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=233b68f76211e459ad424fd384848a80&dl=nl%2Fcitadel-colour-contrast-gryph-hound-orange.html%3Fsource%3Ddaisycon&ws=";"6.3";"6.3";"1";"";"Citadel Colour Contrast:  Gryph-Hound Orange (18ml)";"6.45";"0";"";"";"";"";"";"";"0";"";"";"";"EUR";"0";"";"0";"";"https://cdn.webshopapp.com/shops/352022/files/452874829/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/452874829/image.jpg"
"0";"Citadel Miniatures";"https://cdn.webshopapp.com/shops/352022/files/450495418/image.jpg";"Warhammer";"";"";"Versterk je Warhammer 40K leger met 'Dark Angels: Inner Circle Companions'. Bouw elite krijgers met Calibanite zwaarden voor mysterieuze kracht.";"";"";"149846433";"0";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=5e3e6c7a90235e0f9bb0150bd5563b20&dl=nl%2Fdark-angels-inner-circle-companions.html%3Fsource%3Ddaisycon&ws=";"44.99";"44.99";"1";"";"Dark Angels: Inner Circle Companions";"6.45";"0";"";"";"";"";"";"";"0";"";"";"";"EUR";"0";"";"0";"";"https://cdn.webshopapp.com/shops/352022/files/452231480/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/452231480/image.jpg"
"0";"Stonemaier Games";"https://cdn.webshopapp.com/shops/352022/files/437806451/image.jpg";"Spellen";"Speelgoed en spellen|Spellen";"";"1 tot 6 spelersVanaf 14 jaarSpeeltijd: 90 minTaal: Engels";"";"";"146167074";"1";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=f19eeaef03233e63a3fe6f7b36b1aaf0&dl=nl%2Ftuscany-essential-edition.html%3Fsource%3Ddaisycon&ws=";"29.99";"29.99";"1";"";"Viticulture: Tuscany - Essential Edition (ENG)";"6.45";"0";"";"";"";"";"";"";"0";"3793";"";"";"EUR";"0";"";"0";"Speelgoed en spellen > Spellen";"https://cdn.webshopapp.com/shops/352022/files/460099996/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/460099996/image.jpg"
"0";"Citadel Miniatures";"https://cdn.webshopapp.com/shops/352022/files/450495418/image.jpg";"Warhammer";"";"";"Leg de perfecte basis met Citadel Colour Base: Gal Vorbak Red. Deze 12 ml pot donker rode acrylverf zorgt voor een soepele applicatie en rijke texturen.";"";"";"148211972";"1";"0";"";"https://jf79.net/c/?si=16834&li=1725509&wi=362182&pid=8309ecb1da6e7ccfb0335507cd44aa06&dl=nl%2Fcitadel-colour-base-gal-vorbak-red.html%3Fsource%3Ddaisycon&ws=";"3.6";"3.6";"1";"";"Citadel Colour Base: Gal Vorbak Red (12ml)";"6.45";"0";"";"";"";"";"";"";"0";"";"";"";"EUR";"0";"";"0";"";"https://cdn.webshopapp.com/shops/352022/files/452273372/image.jpg";"";"";"https://cdn.webshopapp.com/shops/352022/files/452273372/image.jpg"
